"","Sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","Population","Cohort","X1.x","X2.x","X1.y","X2.y"
"745","HG00266",-0.0166232900570012,-0.00336859825682318,-0.00242846909937804,0.000203203665036766,-0.0240425525880204,0.026446719536611,-0.00285615696857209,"FIN","EUR",1.80691395539996,-0.887451903129859,1.80691395539996,-0.887451903129859
"746","HG00267",-0.016811543192838,-0.00590343143840053,-0.0114273718008003,0.00261810506202032,-0.0154896320671518,0.00135665255705412,-0.000795611241532916,"FIN","EUR",3.18112039069648,-3.2608286131568,3.18112039069648,-3.2608286131568
"747","HG00268",-0.0170814720408206,-0.0052860080972984,-0.00362694843942055,0.00815156886918345,-0.0226320761005396,0.0273227503511364,0.0279131731015536,"FIN","EUR",2.97600028893118,-1.28001643370307,2.97600028893118,-1.28001643370307
"748","HG00269",-0.0169935517853241,-0.00395740856793497,-0.0129688791686629,0.00554107971541651,-0.0184904501429365,0.00711510849602345,-0.0302386665416995,"FIN","EUR",2.23694915438798,-3.61821579979521,2.23694915438798,-3.61821579979521
"749","HG00271",-0.0169128372363666,-0.00417168582304836,-0.00246493597728099,0.0037549157050606,-0.0280628047133244,0.0261449249211646,0.0240453865808672,"FIN","EUR",2.40524171722761,-1.11092980444036,2.40524171722761,-1.11092980444036
"750","HG00272",-0.0167974666764401,-0.00553364886904984,-0.00451306917292548,-0.00721939721972462,-0.0214869817732736,0.00324045214367615,0.00152359250411988,"FIN","EUR",2.99243357117066,-1.46864012485729,2.99243357117066,-1.46864012485729
"751","HG00273",-0.0169112871331227,-0.00256648620870773,-0.00860769052149783,-0.00341703131917619,-0.0254546623059369,0.00345096405550508,-0.0265169563448869,"FIN","EUR",1.50282044917143,-2.48492038446586,1.50282044917143,-2.48492038446586
"752","HG00274",-0.0168877103699258,-0.00470429631907707,-0.0083339918544658,-0.0003560651329248,-0.0288882155845213,0.0276832687932348,-0.00954721922991594,"FIN","EUR",2.54936610886663,-2.38177413057855,2.54936610886663,-2.38177413057855
"753","HG00275",-0.0171238275718113,-0.00390188710059401,-0.0106161515449896,-0.00114415160818995,-0.0221049795286065,0.00534333573998923,-0.0281523466328871,"FIN","EUR",2.27002380877984,-3.03590331038011,2.27002380877984,-3.03590331038011
"754","HG00276",-0.0169616930332979,-0.00417718167316139,-0.00627328290254615,0.0020533455402136,-0.0228902810390142,0.0318767555577555,-0.0289924897767981,"FIN","EUR",2.38920744446451,-1.99711449928618,2.38920744446451,-1.99711449928618
"755","HG00277",-0.0168889636668104,-0.00689164552991591,-0.0118881732642607,0.00717443804733541,-0.0238711397841035,0.0265407224850741,-0.00817668905971314,"FIN","EUR",3.66254242835382,-3.3115455842353,3.66254242835382,-3.3115455842353
